,dest,retraso_medio
0,BOI,64.75
1,HDN,46.8
2,SFO,41.193768844221104
3,CLE,35.74193548387097
4,SBA,35.391752577319586
5,COS,35.05607476635514
6,BWI,34.585798816568044
7,EWR,33.52972258916777
8,DFW,33.27519181585678
9,MIA,32.66187050359712
10,ORD,32.47909024211299
11,BNA,31.94871794871795
12,JFK,31.255884586180713
13,JAC,30.25
14,PHL,29.245989304812834
15,OGG,27.511111111111113
16,IAD,27.430875576036865
17,HOU,27.33009708737864
18,LGB,27.07634730538922
19,FAT,26.852589641434264
20,DEN,26.788983501862692
21,IAH,25.76011288805268
22,HNL,24.996350364963504
23,KOA,24.4017094017094
24,OAK,24.34916475597773
25,BOS,24.332125603864736
26,TPA,24.083333333333332
27,OMA,23.26595744680851
28,SLC,23.010331702011964
29,PHX,22.650739085596424
30,DCA,22.52
31,CVG,22.486486486486488
32,ATL,22.484326018808776
33,MSP,21.576923076923077
34,MCO,21.43448275862069
35,MDW,21.425824175824175
36,SMF,21.149673735725937
37,LIH,21.089622641509433
38,PDX,20.960240963855423
39,SJC,20.95431098010317
40,LAS,20.899816176470587
41,ONT,20.80921052631579
42,RNO,20.61904761904762
43,SEA,20.210526315789473
44,ABQ,20.022727272727273
45,TUS,19.903061224489797
46,CLT,19.648230088495577
47,FAI,19.53825857519789
48,MCI,19.182795698924732
49,DTW,18.95924764890282
50,SIT,18.694444444444443
51,LAX,18.67682212327162
52,SAN,18.61768149882904
53,JNU,18.191176470588236
54,ANC,18.0687724910036
55,PSP,17.638225255972696
56,MKE,17.630434782608695
57,STL,17.31958762886598
58,BUR,17.016
59,KTN,16.3216
60,EUG,16.3125
61,FLL,16.162650602409638
62,RDM,15.954372623574145
63,AUS,15.935483870967742
64,GEG,15.90809327846365
65,BLI,15.457627118644067
66,SNA,14.538327526132404
67,MSY,12.851851851851851
68,SAT,12.564705882352941
69,LMT,10.0
